Player_ID;Player;Negotiations;Fights;Total;Attrition
12782869;Qi the coconut;0;13483;13483;218
10537728;simon1976;0;9852;9852;9
850813028;Cylens;0;9029;9029;197
705849;lasherbob;4;7958;7966;5
4194345;becop;0;7065;7065;168
854304476;sidsid;0;6933;6933;109
849762034;Diddler;0;6510;6510;8
8622496;Waynes world1;0;6476;6476;179
47808;vagelis99;0;5214;5214;49
11807816;Dpunk;0;5210;5210;87
854681998;Zodman;0;5013;5013;119
45238;Frodoo;0;3975;3975;127
853132263;Lone Sloane 66;0;3325;3325;106
854648420;Pollar;0;3039;3039;168
2277993;Crusaderx;0;3017;3017;18
10593569;Badvok the Bold;0;2992;2992;101
851616738;MagicI;0;2854;2854;67
9795849;Magnus the Terrible 439;200;2438;2838;75
851800597;Meandmyself;0;2367;2367;93
5085500;Tarquinus the Lion 254;0;1920;1920;54
851894029;Afrodite1;0;1917;1917;65
827787;pywackit;0;1914;1914;58
850445151;Swan76;19;1702;1740;60
2465641;=Alpha=Wolf=;0;1624;1624;33
1428445;MarkD1964;0;1527;1527;25
850331824;Brocksta;0;1322;1322;0
4225910;Hadrian the Intrepid 121;0;1302;1302;70
12992719;ChilliBeanz62;0;1027;1027;5
849068862;Ken*;0;992;992;50
9762415;0p1ate;0;927;927;71
4749897;DutchTheIV;0;917;917;5
851298155;willow324;0;881;881;22
853520455;Phillip the Fair;0;809;809;12
761097;gareth dragonsbane;0;807;807;4
13086826;Alex The Great;0;773;773;0
849603210;TSTT;0;764;764;1
850518321;alterdestiny;0;763;763;199
851598404;-Baba Yaga-;0;733;733;0
5374197;Pammy Norrie;0;703;703;0
849612867;TINY HEROS;0;689;689;18
6723349;inb0x;0;685;685;0
851914808;Selene the Blessed 1233;8;653;669;0
6141929;Carra;0;636;636;74
1148549;mehdialone;0;634;634;5
12714764;Jaffa The O;0;597;597;11
854172183;GabyBB;0;569;569;0
849566070;Aspandiat;0;541;541;0
621093;THE CHIEF;0;511;511;0
850938639;Green II;0;502;502;0
5367654;King John of Ambler;0;482;482;7
850665098;Ellwinara;0;458;458;16
849380627;FastGunner;0;428;428;32
853346321;Moiraine of the Blue;0;422;422;0
104779;VITORO;0;366;366;3
6730017;Peace.;0;346;346;98
851362281;Diabsian;0;343;343;0
853267111;Kuniggsbog;0;325;325;0
4765723;djcdjc;0;308;308;7
853797540;Odinn;0;307;307;7
853774595;Mr Sonic;0;281;281;0
852736395;Lalo-Salamanca;0;239;239;0
12213472;Crazy Caveman;0;212;212;4
1436378;Dn4lor;2;186;190;1
2279421;Warriorpoet;0;180;180;5
852293256;Rolanddd;0;121;121;0
13309306;Ser Arthur Dayne.;0;115;115;32
11482655;El Kabong;0;106;106;0
1724508;cvetkovic;0;105;105;0
1891201;edman4444;0;101;101;5
850307582;Rex Bellator;0;83;83;0
10908871;Meru;0;67;67;0
853116853;Master Jai;0;64;64;0
7330083;S3xy Beast;0;59;59;0
11245188;Bernini;0;46;46;0
851549132;Herak;0;0;0;0
339141;Mikeytheonly;0;0;0;0
850481022;TRTLC;0;0;0;0
