rank,member_id,member,points,eraID,eraName,guildgoods,won_battles
1,705849,lasherbob,9073312254,23,SASH,40000,1001205
2,2277993,Crusaderx,8203612815,23,SASH,27040,1377990
3,10593569,Badvok the Bold,7465202419,23,SASH,31400,914082
4,104779,VITORO,6979629426,23,SASH,21150,1522037
5,8622496,Waynes world1,6615359236,23,SASH,32210,1017263
6,4225910,Hadrian the Intrepid 121,5695139102,23,SASH,29810,834618
7,45238,Frodoo,5676412258,23,SASH,28075,636723
8,1148549,mehdialone,5156418784,23,SASH,12555,881445
9,1758550,marco965,5039812422,23,SASH,37700,566254
10,849603210,TSTT,4986822466,23,SASH,40010,557018
11,853267111,Kuniggsbog,4783466014,23,SASH,32975,388011
12,1436378,Dn4lor,4748944126,23,SASH,33975,615135
13,1891201,edman4444,4536509873,23,SASH,33780,481920
14,6141929,Carra,4467454743,23,SASH,26970,593920
15,4194345,becop,3964977970,23,SASH,16990,459371
16,852293256,Rolanddd,3911789803,23,SASH,24425,654936
17,850518321,alterdestiny,3850545015,23,SASH,17830,356742
18,853735377,MOMIS,3555250697,23,SASH,26950,393058
19,827787,pywackit,3555141379,23,SASH,14815,597416
20,2465641,=Alpha=Wolf=,3363284650,23,SASH,12255,527660
21,850307582,Rex Bellator,3270820958,22,SAT,17080,565504
22,1724508,cvetkovic,3171392748,23,SASH,14440,614944
23,849566070,Aspandiat,3099023727,22,SAT,38180,547084
24,849694740,Mournblade,2881176996,23,SASH,14555,508163
25,850938639,Green II,2860837778,23,SASH,21550,371944
26,40674,VFRMark.,2809451090,23,SASH,17115,407755
27,855031788,Blackcong,2729183866,23,SASH,27980,221282
28,850665098,Ellwinara,2600926791,23,SASH,29070,332928
29,7954450,Bloody Pastor,2581144641,14,FE,20120,961649
30,5374197,Pammy Norrie,2484577270,23,SASH,17710,390283
31,9795849,Magnus the Terrible 439,2411642081,18,SAM,20840,734401
32,11899618,Master A,2404590957,23,SASH,12625,357619
33,9574867,Salikas,2365202456,23,SASH,8645,324072
34,12992719,ChilliBeanz62,2288532043,22,SAT,21240,461647
35,850445151,Swan76,2194565733,20,SAV,12605,479699
36,854681998,Zodman,2155789405,21,SAJM,26690,336531
37,853197494,DaFunkyMonkey,2052119102,23,SASH,15080,210212
38,4749897,DutchTheIV,2015565228,23,SASH,13545,282350
39,5367654,King John of Ambler,1927267362,22,SAT,15260,348883
40,1234051,Devils Deciple.,1911324746,22,SAT,5360,410671
41,851598404,-Baba Yaga-,1870539246,21,SAJM,17480,509157
42,850331824,Brocksta,1796438331,22,SAT,23845,528528
43,11482655,El Kabong,1460105149,22,SAT,14940,397105
44,853659232,friendly,1424529361,19,SAAB,10225,326870
45,854648420,Pollar,1351875741,22,SAT,20375,229382
46,851914808,Selene the Blessed 1233,1232857831,18,SAM,28995,343077
47,851616738,MagicI,1171603992,18,SAM,16385,465754
48,854882618,CCCC123,1170440184,19,SAAB,11210,162783
49,855546281,pForm,1116485537,22,SAT,21320,82581
50,11442171,High Lord Timbum,1064603628,22,SAT,14730,211873
51,851298155,willow324,1045950353,22,SAT,15940,293196
52,11245188,Bernini,1025065606,18,SAM,22845,376494
53,851513926,-=LEO=-,993022742,14,FE,24125,400445
54,9762415,0p1ate,974642527,16,OF,19390,651306
55,849612867,TINY HEROS,898786717,14,FE,22400,478255
56,854719448,ludwig2,740706384,21,SAJM,17985,122828
57,854719004,soldier00,665477663,22,SAT,10920,72763
58,13309306,Ser Arthur Dayne.,633820564,15,AF,10075,357676
59,12685645,Brudzilla,553446130,19,SAAB,10645,96892
60,854714000,sixtyodin,528497487,16,OF,6170,121098
61,3556826,peri1,482855957,14,FE,16305,112988
62,853106102,Brad Field of green,432520254,14,FE,9185,127674
63,11807816,Dpunk,409330657,5,HMA,15995,1080492
64,854554840,SirRobert Artur,358051979,17,VF,3855,92232
65,853109616,VixenQueen,323561645,14,FE,5405,123894
66,853797540,Odinn,314216904,16,OF,15155,88203
67,852945970,Rider on the Storm,297849378,9,PE,6425,146317
68,853520455,Phillip the Fair,285625237,10,ME,16325,121030
69,849380627,FastGunner,257176985,8,InA,14065,189392
70,12351572,Cliff59,212698955,14,FE,7550,49178
71,851800597,Meandmyself,206628512,6,LMA,9220,439528
72,855640309,Claudius titus,205217004,16,OF,4125,44784
73,5544177,michealscott123,145154603,14,FE,8560,75751
74,855514222,HoanggLam,30847269,6,LMA,3600,23829
75,853564293,Waikis,16134621,5,HMA,5115,12290
