rank;member_id;member;points;eraID;eraName;guildgoods;activity_warnings;messages;gex_participation;gbg_participation;won_battles;guildmember
1;705849;lasherbob;9240797960;23;SASH;49320;0;1072;24;27;1011625;1
2;2277993;Crusaderx;8325372778;23;SASH;27080;0;1114;24;27;1384499;1
3;10593569;Badvok the Bold;7636790990;23;SASH;38630;0;159;24;27;919979;1
4;104779;VITORO;7022294178;23;SASH;20005;0;3;21;27;1523863;1
5;8622496;Waynes world1;6743960249;23;SASH;24475;0;306;24;27;1021668;1
6;45238;Frodoo;5821883426;23;SASH;27915;0;12;24;27;641371;1
7;4225910;Hadrian the Intrepid 121;5811704853;23;SASH;35145;0;197;24;27;840899;1
8;1758550;marco965;5197025908;23;SASH;38525;0;220;7;9;573115;1
9;1148549;mehdialone;5168043140;23;SASH;12555;6;70;22;27;881792;1
10;849603210;TSTT;5057173556;23;SASH;39875;0;259;24;27;561429;1
11;853267111;Kuniggsbog;4894842182;23;SASH;33185;0;2843;24;27;395727;1
12;1436378;Dn4lor;4804123003;23;SASH;33900;0;1104;23;27;617186;1
13;1891201;edman4444;4653120310;23;SASH;33855;1;45;23;27;486814;1
14;6141929;Carra;4519668578;23;SASH;33310;0;3268;17;27;598502;1
15;4194345;becop;4092688298;23;SASH;22625;1;28;22;27;462789;1
16;852293256;Rolanddd;3988307538;23;SASH;31625;2;3;24;27;657284;1
17;850518321;alterdestiny;3933050150;23;SASH;25190;0;818;23;24;360698;1
18;853735377;MOMIS;3727335339;23;SASH;20090;0;68;10;12;398990;1
19;827787;pywackit;3596574079;23;SASH;21970;0;3;24;27;600676;1
20;2465641;=Alpha=Wolf=;3385300928;23;SASH;19405;0;45;23;27;528496;1
21;850307582;Rex Bellator;3300624283;22;SAT;16710;0;41;24;27;566615;1
22;1724508;cvetkovic;3212559274;23;SASH;13590;0;24;22;27;616477;1
23;849566070;Aspandiat;3198639304;22;SAT;39885;0;560;24;27;551483;1
24;849694740;Mournblade;2937567801;23;SASH;0;0;7;0;2;511370;1
25;850938639;Green II;2926910148;23;SASH;0;0;2;0;1;376192;1
26;40674;VFRMark.;2900591338;23;SASH;17070;0;775;0;3;411150;1
27;855031788;Blackcong;2865322069;23;SASH;24590;0;890;12;14;225983;1
28;850665098;Ellwinara;2663687280;23;SASH;27120;3;448;22;27;336443;1
29;7954450;Bloody Pastor;2621221730;14;FE;0;0;716;0;2;967587;1
30;5374197;Pammy Norrie;2514566812;23;SASH;16600;5;57;24;27;392398;1
31;11899618;Master A;2461540558;23;SASH;13435;2;26;14;16;362204;1
32;9795849;Magnus the Terrible 439;2442479893;18;SAM;19230;0;136;24;27;739011;1
33;9574867;Salikas;2397278543;23;SASH;15735;0;2;9;11;326203;1
34;12992719;ChilliBeanz62;2337442094;22;SAT;21055;0;24;24;27;465075;1
35;854681998;Zodman;2260821695;21;SAJM;26720;0;1412;24;27;341725;1
36;850445151;Swan76;2246201879;20;SAV;11275;0;68;24;27;483115;1
37;853197494;DaFunkyMonkey;2072808625;23;SASH;15055;0;80;0;2;212314;1
38;4749897;DutchTheIV;2046444702;23;SASH;12300;0;18;24;27;285277;1
39;1234051;Devils Deciple.;1966753034;22;SAT;4585;0;243;0;3;417289;1
40;5367654;King John of Ambler;1954915296;22;SAT;15190;0;92;24;27;351165;1
41;851598404;-Baba Yaga-;1926310237;21;SAJM;17480;0;3455;23;26;515903;1
42;850331824;Brocksta;1839003449;22;SAT;22790;0;64;22;26;531654;1
43;853659232;friendly;1473309176;19;SAAB;9425;0;24;3;4;330973;1
44;11482655;El Kabong;1467799311;22;SAT;14840;2;120;23;27;397829;1
45;854648420;Pollar;1391491109;22;SAT;19085;1;372;17;19;233287;1
46;851914808;Selene the Blessed 1233;1282309152;18;SAM;26305;0;551;22;23;348920;1
47;854882618;CCCC123;1208058267;19;SAAB;11070;0;14;7;11;164626;1
48;855546281;pForm;1208032750;22;SAT;20000;0;325;5;8;87485;1
49;851616738;MagicI;1195439344;18;SAM;22395;3;416;21;27;468655;1
50;851298155;willow324;1106576524;22;SAT;15240;0;7;24;27;296359;1
51;11442171;High Lord Timbum;1089011378;22;SAT;15180;0;378;1;4;214726;1
52;11245188;Bernini;1043698158;18;SAM;20445;0;101;24;27;378687;1
53;851513926;-=LEO=-;1014192654;14;FE;24925;0;387;0;3;406446;1
54;9762415;0p1ate;998399897;16;OF;18845;0;870;23;27;656873;1
55;849612867;TINY HEROS;921051649;14;FE;15240;0;170;24;27;481744;1
56;854719448;ludwig2;788517529;21;SAJM;14585;0;3;5;7;125083;1
57;854719004;soldier00;687109626;22;SAT;9600;0;12;7;9;74878;1
58;851585890;SharpSabrina;679367056;23;SASH;9985;0;72;7;10;179628;1
59;13309306;Ser Arthur Dayne.;640352466;15;AF;10065;0;2;24;27;359939;1
60;12685645;Brudzilla;576950794;19;SAAB;8130;0;261;1;4;99753;1
61;854714000;sixtyodin;541755541;16;OF;6980;2;50;9;13;122052;1
62;3556826;peri1;496207603;14;FE;14850;0;14;1;3;115576;1
63;853106102;Brad Field of green;447147925;14;FE;9045;5;18;4;6;129282;1
64;11807816;Dpunk;411508645;5;HMA;11635;0;446;24;27;1083784;1
65;854554840;SirRobert Artur;362699608;17;VF;3815;0;4;6;9;93062;1
66;853109616;VixenQueen;327479200;14;FE;5415;0;50;2;4;125038;1
67;853797540;Odinn;322709833;16;OF;13320;0;37;5;6;89029;1
68;852945970;Rider on the Storm;304511101;9;PE;0;0;9;0;2;149399;1
69;853520455;Phillip the Fair;291891056;10;ME;13710;0;70;21;25;123735;1
70;849380627;FastGunner;261033294;8;InA;13635;0;284;24;27;191047;1
71;12351572;Cliff59;227081219;14;FE;6170;0;101;5;6;51241;1
72;855640309;Claudius titus;224849830;16;OF;3910;0;4;0;3;47913;1
73;851800597;Meandmyself;209802555;6;LMA;9190;0;662;24;27;442833;1
74;5544177;michealscott123;155088738;14;FE;8480;0;653;4;7;79042;1
75;853564293;Waikis;17689218;5;HMA;4835;0;28;0;3;13659;1
