sequence,player_name,status,attempt,failed_reason,popup_name_debug,fp_production,units_production,goods_production,guild_goods_production,critical_hit,main_attack,main_defense,defending_units_attack,defending_units_defense,gbg_attack,gbg_defense,gbg_defending_units_attack,gbg_defending_units_defense,ge_attack,ge_defense,ge_defending_units_attack,ge_defending_units_defense
1,lasherbob,ok,2,warning_name_mismatch_expected_lasherbob_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,79550,2501,55767,49320,74.54,22022,20701,21253,20575,39371,38025,39330,38159,30404,29415,29964,29590
2,Crusaderx,ok,1,warning_name_mismatch_expected_Crusaderx_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,62167,1765,24800,27280,50.34,11631,10740,12006,11290,21543,22822,20139,21115,19488,20963,20680,20503
3,Badvok the Bold,ok,1,warning_name_mismatch_expected_Badvok the Bold_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,44006,3088,31889,38355,61.93,22385,23144,22332,24310,39140,39442,39894,41582,33771,35322,33438,36037
4,VITORO,ok,1,warning_name_mismatch_expected_VITORO_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,20459,1291,12812,21290,64.78,12265,11579,10847,10842,20872,20129,16713,17229,18988,19170,18279,18487
5,Waynes world1,ok,1,warning_name_mismatch_expected_Waynes world1_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,46640,1848,25581,32160,54.77,12273,12543,11815,12489,19979,21194,19263,21886,21292,22607,21350,22936
6,Frodoo,ok,1,warning_name_mismatch_expected_Frodoo_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,36747,1453,24809,29245,54.1,12780,11813,11821,12092,21444,20063,18429,19794,23045,23120,20944,22922
7,Hadrian the Intrepid 121,ok,1,warning_name_mismatch_expected_Hadrian the Intrepid 121_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,36269,2054,19617,30685,64,16585,15439,16577,16307,29053,27755,27947,28442,25699,25440,26100,26343
8,marco965,ok,1,warning_name_mismatch_expected_marco965_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,21035,2107,16521,31570,63.39,22612,21165,20829,19187,36976,34712,33655,31472,33482,31607,30919,29314
9,mehdialone,ok,1,warning_name_mismatch_expected_mehdialone_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,8340,960,8891,12580,49.5,7675,7100,6314,6993,11695,10725,9193,9394,10849,10179,10055,10802
10,TSTT,ok,1,warning_name_mismatch_expected_TSTT_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,28704,1520,16324,32965,72.03,14580,13456,13979,13296,29902,27075,26374,25866,25450,24143,27043,26095
